frame,vx_sp_ma,vy_sp_ma,vz_sp_ma,vx_sp_lp,vy_sp_lp,vz_sp_lp,vx_sift_ma,vy_sift_ma,vz_sift_ma,vx_sift_lp,vy_sift_lp,vz_sift_lp
80,0.05471849266415335,-0.427854048104686,0.047056183680678446,0.056842869673710654,-0.4233888696511201,0.04219592495286721,-0.10851937125997006,-0.4298728578794674,-0.03719427944829151,-0.10379916889196145,-0.2001504117395247,-0.03705234947191232
81,0.05521176566700975,-0.4206038558158079,0.04399665983651724,0.056746250084712624,-0.41593266335699763,0.03929063181331335,-0.10880306543399655,-0.3331638104874636,-0.01905321900683297,0.028073166299423358,-0.23193149475881342,-0.015482886055722197
82,0.05636573115397111,-0.4197302620230238,0.03592606396002308,0.0574596063255127,-0.4163362610877115,0.03005080286238703,0.06390954923733091,-0.22868085025709362,0.018813128144779312,0.10262268807949915,-0.30759231550339816,0.03081466957505192
83,0.05779246728877368,-0.41914874267183133,0.028002761613185215,0.05866102895124181,-0.41784228771624843,0.022865150643164796,0.0289550763281216,-0.23584556981960833,0.010421489975926524,0.06119464271163401,-0.16408367557835804,0.009280830639622395
84,0.05858275735987314,-0.41765539987332007,0.02045888636743824,0.059023951269047234,-0.4158531793188003,0.017647826809314253,0.1634175532673932,-0.1956451473161591,-0.008632190130819601,0.23037464381027625,-0.11651187482406353,-0.059287058758692585
85,0.06035181442180072,-0.4153553345549194,0.012606945739159608,0.061803715166717024,-0.4155773436723455,0.012942769800706574,0.3573306104933705,-0.18150607068973992,-0.012165290801437776,0.22130644417054401,-0.12480979832355621,-0.017721185950076022
86,0.06426676667888942,-0.415482468854007,0.005118521482131488,0.06537647338152172,-0.418475501384865,0.009178724193820431,0.31347576276987404,-0.15993618771796525,0.030932408265045556,-0.02221980186937239,-0.10636673299826305,0.059791932113324675
87,0.0680384353514142,-0.41364076163529623,-0.0004734807770812372,0.06891390019519779,-0.41780471470291736,0.006698685649838758,0.00543743212990333,-0.32898599481796065,0.05141536053713537,-0.19969728677210533,-0.4104415437394743,0.040860364861758036
88,0.06959078481440727,-0.4188071692883211,-4.538409971441629e-05,0.06857636375009263,-0.4186983101126702,0.01149217571920413,-0.20171811260964995,-0.11841591040790608,0.10254527446070724,-0.3386630906400664,-0.10536628218469668,0.11842916490421469
89,0.06980836442030827,-0.41982936914231733,0.003937464408528642,0.06722830870607813,-0.41997985828784434,0.013388025898639942,-0.28269331789617375,-0.08034927278994794,0.0905260638733362,-0.30413160487322594,-0.15304685277896335,0.12111741552068199
